toi,tfopwg_disp,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_eqt,pl_insol,st_teff,st_logg,st_rad
"1061.01","FP",0.5409330,1.6743370,257.3474590,2.2850100,,,5525.0000000,4.2534200,1.2193500
"1062.01","CP",4.1150576,1.0800000,487.0000000,2.3005700,826.0000000,77.3573000,5394.0000000,4.5094200,0.8900000
"1000.01","FP",2.1713484,2.0172196,656.8860989,5.8181633,3127.2040524,22601.9485814,10249.0000000,4.1900000,2.1698600
"1001.01","PC",1.9316462,3.1660000,1286.0000000,11.2154000,4045.0000000,44464.5000000,7070.0000000,4.0300000,2.0100000
"1002.01","FP",1.8675574,1.4080000,1500.0000000,23.7529000,2037.0000000,2860.6100000,8924.0000000,,5.7300000
"1003.01","FP",2.7432300,3.1670000,383.4100000,,1631.0000000,1177.3600000,5388.5000000,4.1500000,
"1004.01","FP",3.5730141,3.3700000,755.0000000,11.3113000,4260.0000000,54679.3000000,9219.0000000,4.1400000,2.1500000
"1005.01","FP",4.5505945,2.6540000,3731.0000000,7.1084100,1257.0000000,414.7750000,5613.0000000,,1.0900000
"1006.01","FP",2.5047918,4.3797563,2270.5402194,8.6950898,1649.8220699,1750.9326350,6616.0000000,,1.5342900
"1007.01","PC",6.9989206,3.9530000,2840.0000000,14.7752000,1282.0000000,448.7440000,6596.0000000,3.7100000,2.7000000
"1008.01","FP",2.0483755,2.7670000,483.0000000,3.1962100,,5644.4000000,6858.5000000,4.2000000,1.5700000
"1009.01","PC",1.9600277,2.0065257,1707.6272693,,1456.4246534,1063.3422958,8868.7000000,,
"101.01","KP",1.4303699,1.6165994,18960.7122944,13.1874503,1525.9048089,1281.2408254,5600.0000000,4.4885100,0.8907740
"1010.01","FP",0.6808702,2.4634563,1507.8006889,5.9115908,4382.0266062,87140.6995884,9438.0000000,,1.0000000
"1011.01","PC",2.4705036,2.3513472,273.0272045,1.4465600,1364.0000000,575.5970000,5413.7000000,4.4600000,0.9400000
"1012.01","APC",0.8841820,1.6210000,1890.0000000,24.8132000,5098.0000000,112144.0000000,8928.0000000,3.9200000,2.7200000
"1013.01","FP",5.4255548,3.9637474,14939.6342222,,1037.2753045,273.5880696,8868.7000000,,
"1014.01","FP",1.4095184,0.9484999,2841.5103258,,1625.6180218,1650.4220710,9307.0000000,,
"1015.01","FP",1.3730466,2.5708515,1301.5065338,42.1479417,1912.3318636,3160.6328329,4897.0000000,,6.7996101
"1016.01","FP",12.6889415,7.9201001,3232.8527885,14.0608342,1158.1310368,425.1594177,7601.0000000,4.3100000,1.5364100
"1108.01","FP",7.1438600,1.4670000,11146.4000000,22.1531000,,,7860.0000000,4.1500000,1.9100000
"1109.01","FP",7.0408300,2.9790000,1580.0000000,8.4640400,1505.0000000,852.3360000,5317.0000000,4.4900000,0.9100000
"111.01","KP",2.1061569,1.4688934,12142.2238514,13.0868720,1308.0417533,691.8428073,5380.0000000,4.4337000,0.9406970
"1110.01","FP",2.4545635,2.3210000,4248.0000000,11.1276000,1899.0000000,2162.7300000,6610.0000000,4.1500000,1.6400000
"1111.01","FP",11.4756978,0.8080000,8341.0000000,14.1098000,512.0000000,11.4585000,7262.0000000,4.0000000,2.1300000
"1112.01","FP",2.7818600,2.4560000,490.0000000,4.9256700,1680.0000000,1323.2100000,6819.0000000,3.9200000,2.2100000
"1113.01","FP",6.4410082,1.7980000,7076.0000000,4.5920300,471.0000000,8.2114000,3469.0000000,4.7100000,0.5300000
"1114.01","APC",2.4887726,2.6320000,4852.0000000,,1344.9531805,773.3029498,8048.0000000,4.4380000,
"1115.01","APC",4.4519900,2.1090000,8483.3800000,15.8858000,1571.0000000,1013.7400000,6708.3000000,4.2000000,1.5700000
"1116.01","PC",5.0100708,2.0644756,409.4812214,2.3107394,971.6657708,210.6631712,5551.0000000,4.4621400,0.9062820
"1117.01","PC",2.2281625,2.0150000,630.0000000,2.5677800,1434.0000000,702.9270000,5731.0000000,4.4300000,1.0200000
"1118.01","FP",4.1381200,3.9110000,5560.0000000,,1386.0000000,613.9640000,4898.4000000,,
"1119.01","APC",10.9566300,3.5880000,3830.0000000,23.9726000,1389.0000000,619.0650000,6456.0000000,3.9200000,2.0700000
"112.01","KP",2.4997996,2.8651710,14621.2059647,13.8516093,1399.9894384,907.8624196,5650.0000000,4.2886700,1.1373200
"1120.01","FP",1.6622600,3.3210000,6030.0000000,13.3343000,2561.0000000,7149.8900000,7301.0000000,4.2300000,1.6400000
"1121.01","FP",4.0761100,2.0620000,1454.1800000,,,,,,
"1122.01","FP",3.6245513,3.0420000,1299.0000000,4.3503000,,919.5710000,6317.0000000,,1.3800000
"1123.01","APC",1.2092800,1.8860000,11883.8000000,15.1764000,,,5159.8000000,4.2300000,1.2700000
"1124.01","APC",3.5187707,2.4080000,5634.0000000,14.0061000,1863.0000000,2000.0100000,6690.0000000,4.2400000,1.4900000
"1125.01","PC",0.7724825,1.3744974,211.3168519,4.1624907,3996.2877922,60276.5000547,8271.0000000,3.9500000,2.5027299
"1126.01","FP",1.6268695,3.2310000,1502.0000000,2.3649800,1850.0000000,1946.2300000,5034.0000000,4.6400000,0.7300000
"1127.01","FP",2.3243900,4.4530000,2704.1800000,,4502.0000000,68217.5000000,8268.5000000,3.9300000,
"1128.01","FP",13.5499000,1.7950000,1180.0000000,6.2463300,660.0000000,31.6652000,6209.0000000,4.0900000,1.6300000
"1129.01","FP",4.4365100,3.3650000,1520.0000000,19.9664000,2653.0000000,8233.4100000,7101.9000000,3.9100000,2.3200000
"113.01","KP",3.3728770,2.6342600,17163.6041900,14.2018030,1270.1874480,615.1659210,6050.0000000,4.4506100,1.0200000
"1130.01","CP",8.3499800,1.8360000,16680.0000000,11.1424000,588.0000000,19.9348000,4236.0000000,4.5200000,0.7400000
"1130.02","CP",4.0686405,1.8373729,2650.0950013,3.7548333,772.3783020,84.1087660,4236.0000000,4.5200000,0.7419210
"1131.01","PC",0.5860366,0.8098934,410.5241553,4.9064080,3263.6721812,26813.1057089,5579.0000000,3.6700000,2.3980300
"1132.01","FP",1.5502952,2.9380000,411.0000000,3.3452800,2839.0000000,10796.6000000,7851.0000000,4.1700000,1.8600000
"1133.01","FP",1.8070900,3.2970000,450.0000000,4.8624200,2569.0000000,7233.0100000,6244.0000000,3.8400000,2.2000000
"1134.01","FP",18.6922101,7.7650000,11126.0000000,18.1458000,1141.0000000,282.1750000,6277.0000000,4.0900000,1.6500000
"1135.01","CP",8.0277326,4.2840000,5705.0000000,9.0688300,1106.0000000,248.6190000,5962.7000000,4.3800000,1.1500000
"1136.01","CP",12.5187279,5.3800000,2320.0000000,5.5885700,1393.0000000,626.3620000,5729.0000000,4.4700000,0.9800000
"1136.02","CP",6.2586065,3.2010000,813.0000000,2.5159300,1087.0000000,232.3920000,5729.0000000,4.4700000,0.9800000
"1136.03","CP",26.3208756,4.4140000,800.0000000,2.7134900,631.0000000,26.4328000,5729.0000000,4.4700000,0.9800000
"1136.04","CP",18.7955470,4.3425576,470.6731965,2.1597669,672.9826313,48.4770770,5729.0000000,4.4700000,0.9777270
"1137.01","PC",1.3206356,1.6000996,1052.4255997,34.7561624,1982.7142102,3652.2582486,4919.6000000,,6.3070302
"1078.01","CP",0.5182425,0.8565249,831.8920424,1.3485121,1019.3295979,255.1405815,3325.0000000,4.8869300,0.3909890
"1079.01","PC",3.1644075,2.0576293,5603.4635466,14.8814743,1747.9490013,2206.1550476,6519.0000000,4.2206800,1.7234000
"108.01","KP",3.0440495,2.6523472,22807.0101774,12.3803804,1075.3189972,315.9877708,5523.0000000,4.5219200,0.8098680
"1080.01","CP",3.9652485,1.0112593,3680.7544436,1.2305102,386.6684768,5.2829448,3296.0000000,4.9663600,0.1999880
"1081.01","PC",2.9840866,2.9051285,6014.0780197,12.5116438,1368.2558852,828.3050344,6027.0000000,4.2997800,1.2397500
"1082.01","PC",16.3469053,3.5865698,2212.4257252,3.5059571,441.7489067,8.9995944,4310.0000000,4.5734500,0.6496130
"1083.01","PC",12.9802953,2.5034417,2407.2608671,2.4241912,376.2093904,4.7341229,3614.0000000,4.8125700,0.4913230
"1084.01","KP",1.3484961,2.4074261,18463.7636682,15.8824638,1839.6713042,2706.9606225,6346.0000000,4.3848400,1.1475900
"1085.01","APC",3.2541181,4.3410000,13620.0000000,14.9476000,,1436.4500000,6102.0000000,4.2864900,1.2800000
"1086.01","PC",3.7178828,5.5277827,4864.8405125,14.6986197,1689.4116185,1925.1426172,5818.0000000,4.3378700,2.0840001
"1087.01","FP",9.3099200,3.4640000,2220.0000000,14.2968000,1067.0000000,215.2080000,6907.0000000,3.6300000,3.0900000
"1088.01","FA",1.1539500,2.2360000,1550.0000000,5.4836400,2148.0000000,3534.3000000,6093.0000000,4.2000000,1.4000000
"1089.01","FP",4.7370300,3.9020000,2410.0000000,25.7144000,4243.0000000,53821.0000000,11600.0000000,4.1300000,2.4800000
"109.01","KP",2.7667600,2.6872178,14947.4387827,12.2867389,1209.5741229,505.8840075,5346.0000000,4.4882300,0.9848660
"1090.01","FP",2.1929600,4.5860000,4933.7400000,22.7769000,3722.0000000,31883.5000000,7009.8000000,3.6000000,2.9500000
"1091.01","PC",1.7258410,3.6740000,2710.0000000,15.0024000,4175.0000000,50469.2000000,7348.0000000,3.9000000,2.3900000
"1092.01","FP",1.1923000,3.1190000,3730.0000000,30.6660000,3958.0000000,40771.2000000,6534.0000000,3.9500000,2.0400000
"1093.01","FP",11.4760600,6.0830000,3050.0000000,,,,,,
"1094.01","APC",0.5971314,0.4680000,910.0000000,9.0838200,1760.0000000,1596.4300000,7710.0000000,3.9800000,2.2800000
"1095.01","PC",1.4821386,2.1867078,2102.6568299,13.7339261,2962.2418039,18197.1354531,7066.0000000,3.7800000,2.6647301
"1096.01","FP",0.9209526,1.8602735,360.8801529,5.7349089,3430.7622437,32740.3629399,6553.0000000,3.6500000,2.8908899
"1097.01","CP",9.1885060,2.4920000,460.0000000,2.1659100,786.0000000,63.4589000,5876.0000000,4.4800000,0.9800000
"1097.02","CP",13.9028391,2.1264429,647.2701039,2.6136848,756.6987586,77.4841883,5876.0000000,4.4800000,0.9832150
"1098.01","CP",10.1826983,2.8275109,667.4752458,3.0538057,957.1991659,198.3947830,6153.0000000,4.3481400,1.1458200
"1099.01","CP",6.4410060,1.8120000,914.0000000,2.5637400,853.0000000,87.8902000,4867.0000000,4.4380000,0.8000000
"110.01","KP",3.1743504,2.7510860,15457.3247576,14.9172256,1320.6518234,718.9096994,5943.0000000,4.4252400,1.1570600
"1100.01","FP",20.0731588,3.8449215,1152.9645461,4.0506906,736.1368293,69.3993155,6033.0000000,4.3700000,1.1484900
"1101.01","FP",2.6690300,1.5480000,3110.0000000,9.3682300,1268.0000000,429.8600000,5803.5000000,4.0700000,1.5600000
"1102.01","FP",6.6337100,2.1220000,1555.3400000,2.7537500,610.0000000,22.9987000,4138.1000000,4.5400000,0.6300000
"1103.01","PC",2.9430800,4.0730000,4490.0000000,45.3525000,1976.0000000,2533.3400000,4437.0000000,,3.1300000
"1104.01","FP",341.2791676,7.0132492,8583.5584652,21.4801659,316.0450880,2.3578555,6058.6000000,4.2000000,1.3920300
"1105.01","PC",10.8680523,2.3750000,1553.0000000,2.9072600,594.0000000,20.7383000,4664.0000000,4.5500000,0.7600000
"1106.01","PC",11.1149000,2.2600000,900.0000000,14.7645000,603.0000000,21.9713000,5042.0000000,,4.9400000
"1107.01","CP",4.0782392,4.8475616,6046.6959687,13.8981740,1617.8267296,1619.0081232,6501.0000000,4.0800000,1.7483600
"1172.01","FP",7.8513949,6.8350000,22029.0000000,,,,,,
"1173.01","CP",7.0643978,2.4240000,8268.0000000,9.3913100,890.0000000,104.3110000,5429.6000000,4.4400000,0.9600000
"1174.01","CP",8.9534775,2.6960000,1136.0000000,2.3588800,723.0000000,45.5604000,5029.5000000,4.6100000,0.7600000
"1175.01","FP",7.5022708,2.6050000,1760.0000000,5.5581200,940.0000000,129.8660000,6229.0000000,4.3100000,1.2700000
"1176.01","PC",14.0077666,5.8727493,5924.8349672,12.4023108,1028.5320293,264.4796635,6557.7000000,4.1800000,1.5743500
"1177.01","FP",1.6928920,2.8860000,1418.0000000,11.2371000,5800.0000000,187927.0000000,9121.5000000,4.2100000,2.1000000
"1178.01","FP",2.6652007,3.4900000,819.0000000,2.3596400,2045.0000000,2905.3500000,4043.4000000,4.6900000,0.5600000
"1179.01","APC",1.2615323,1.0390000,2841.0000000,8.6740700,1715.0000000,1437.1800000,4927.9000000,4.5700000,0.7800000
"118.01","CP",6.0344634,2.0529010,1750.6457632,4.6585117,1377.9182059,598.4407993,5586.0000000,4.3676300,1.0500000
"1180.01","CP",9.6867516,2.5120000,1669.0000000,3.0033600,707.0000000,41.6645000,4738.1000000,4.5900000,0.7300000
"1181.01","CP",2.1031647,5.0590000,7142.0000000,16.7087000,3037.0000000,14140.0000000,6122.0000000,3.9300000,1.9300000
"1182.01","FP",7.6416041,2.6540000,6025.0000000,27.5380000,1303.0000000,478.6830000,6496.7000000,,2.0500000
"1183.01","FP",5.9294088,2.9330000,10226.0000000,10.8101000,,456.8930000,5095.6000000,,1.0600000
"1184.01","CP",5.7484439,1.7600000,1041.0000000,2.3521500,820.0000000,75.2720000,4534.0000000,4.6100000,0.6900000
"1185.01","FP",1.1967018,1.8790000,824.0000000,10.3239000,3534.0000000,25917.9000000,5997.0000000,4.0000000,1.7300000
"1186.01","FP",11.2464616,7.3910000,7576.0000000,17.6677000,1218.0000000,365.9380000,6115.7000000,3.8900000,2.0100000
"1187.01","PC",2.5941968,0.8610000,907.0000000,4.4722900,1159.0000000,300.0140000,6389.0000000,4.2600000,1.4000000
"1188.01","FP",8.5112000,3.4860000,4172.7600000,,,,8156.0000000,4.3500000,
"1189.01","PC",3.9687994,1.0700000,1760.0000000,,,,5286.9000000,,
"119.01","PC",5.5411113,2.4142561,597.3296582,1.9687561,1217.0522727,364.2204844,5332.0000000,4.5642900,0.8200000
